有一点儿	有一点儿 abit
有能力的	有能力的 able
土著居民	土著居民 aborigines
意外的事	意外的事 accident
行动法令	行动法令 act
把加到上	把加到上 addto
少数几个	少数几个 afew
负担得起	负担得起 afford
经受得起	经受得起 afford
抽出时间	抽出时间 afford spare
不久以后	不久以后 afterawhile beforelong soonafter
一玻璃杯	一玻璃杯 aglassof
非常多的	非常多的 greatdeal
相当多的	相当多的 agoodmany plentyof
非常多地	非常多地 agreatdeal
达成共识	达成共识 agreeon
航空公司	航空公司 airline
航空系统	航空系统 airline
遍及全国	遍及全国 alloverthecountry
一切顺利	一切顺利 allthebest
一年到头	一年到头 alltheyearround
自始至终	自始至终 allthrough through
阿尔托夫	阿尔托夫 Altorf
诸如此类	诸如此类 andsoon
英语晚会	英语晚会 anEnglishevening
受到惩罚	受到惩罚 answerfor
不管怎样	不管怎样 anyhow anyway
什么事物	什么事物 anything
任何事物	任何事物 anything
任何地方	任何地方 anywhere
阿拉伯人	阿拉伯人 Arab
阿拉伯的	阿拉伯的 Arabian
接力赛跑	接力赛跑 arelay relay
起来	起来 arise
到达某地	到达某地 arriveat inaplace
亚洲人的	亚洲人的 Asian
不仅而且	不仅而且 aswellas
正吃早饭	正吃早饭 atbreakfast
一个电话	一个电话 atelephonecall
在大海上	在大海上 atsea
在的尽头	在的尽头 attheendof
在的脚下	在的脚下 atthefootof
澳大利亚	澳大利亚 Australia
奥地利的	奥地利的 Austrian
不正确的	不正确的 bad
有整齐地	有整齐地 badly
没有礼貌	没有礼貌 badmanners
脾气坏的	脾气坏的 badtempered
好容易才	好容易才 barely
讨价还价	讨价还价 bargain
豆科植物	豆科植物 bean
四足动物	四足动物 beast
忙于某事	忙于某事 bebusywithsth
与有关系	与有关系 beconnectedwith
就寝时间	就寝时间 bedtime
因而著名	因而著名 befamousfor
先做某事	先做某事 begiwith
感到惊奇	感到惊奇 besurprised
对不确定	对不确定 beuncertainabout
大一些的	大一些的 bigger
北美野牛	北美野牛 bison
划船比赛	划船比赛 boatrace
用开水煮	用开水煮 boil
两个人都	两个人都 both
少年时代	少年时代 boyhood
休息时间	休息时间 break
破门而入	破门而入 breakinto
违反法律	违反法律 breakthelaw
违反规定	违反规定 breaktherule
亮闪闪地	亮闪闪地 brilliantly
英国人的	英国人的 British English
广播节目	广播节目 broadcast
逐步建立	逐步建立 buildup
突然发生	突然发生 burst burstforth
突然发作	突然发作 burst
突然爆发	突然爆发 burstforth
大声叫喊	大声叫喊 burstout
烧成平地	烧成平地 burtotheground
公共汽车	公共汽车 bus
布什大厦	布什大厦 BushHouse
美洲毒蛇	美洲毒蛇 bushmaster
每周商刊	每周商刊 BusinessWeekly
屠宰屠夫	屠宰屠夫 butcher
在结束时	在结束时 bytheendof
到那时候	到那时候 bythen
中国民航	中国民航 CAAC
大声叫唤	大声叫唤 callout
金属容器	金属容器 can
加拿大人	加拿大人 Canadian
陆军上尉	陆军上尉 captain
海军上校	海军上校 captain
漫不经心	漫不经心 careless
