にっこり笑う	にっこり笑う 😀
にやっと笑う	にやっと笑う 😁
嬉し泣き	嬉し泣き 😂
わーい	わーい 😃
笑顔	笑顔 😄
冷や汗笑顔	冷や汗笑顔 😅
きゃー	きゃー 😆
天使の輪がついた笑顔	天使の輪がついた笑顔 😇
ウインク	ウインク 😉
にこにこ	にこにこ 😊
微笑む	微笑む 🙂
さかさまの顔	さかさまの顔 🙃
笑い転げる	笑い転げる 🤣
スマイリー	スマイリー ☺
目がハートの笑顔	目がハートの笑顔 😍
キス	キス 😗
投げキッス	投げキッス 😘
にっこりキス	にっこりキス 😙
ちゅっ	ちゅっ 😚
目が星の笑顔	目が星の笑顔 🤩
ハートの笑顔	ハートの笑顔 🥰
嬉し涙の顔	嬉し涙の顔 🥲
にこにこぺろり	にこにこぺろり 😋
舌を出した顔	舌を出した顔 😛
あっかんべー	あっかんべー 😜
目を閉じてべー	目を閉じてべー 😝
お金の顔	お金の顔 🤑
ふざけた顔	ふざけた顔 🤪
考える顔	考える顔 🤔
ハグ	ハグ 🤗
しーっ	しーっ 🤫
口に手を当てた顔	口に手を当てた顔 🤭
薄笑いをする顔	薄笑いをする顔 😏
ポーカーフェイス	ポーカーフェイス 😐
無表情	無表情 😑
しらけた	しらけた 😒
しかめ面	しかめ面 😬
息を吐く顔	息を吐く顔 😮‍💨
口のない顔	口のない顔 😶
雲の中の顔	雲の中の顔 😶‍🌫️
上を見る顔	上を見る顔 🙄
口チャック	口チャック 🤐
うそつきの顔	うそつきの顔 🤥
眉を上げた顔	眉を上げた顔 🤨
ほっとした顔	ほっとした顔 😌
しょぼーん	しょぼーん 😔
眠い	眠い 😪
寝る	寝る 😴
よだれを垂らした顔	よだれを垂らした顔 🤤
めまい	めまい 😵
目を回した顔	目を回した顔 😵‍💫
マスク顔	マスク顔 😷
熱がある顔	熱がある顔 🤒
包帯を巻いた顔	包帯を巻いた顔 🤕
吐き気の顔	吐き気の顔 🤢
くしゃみする顔	くしゃみする顔 🤧
嘔吐する顔	嘔吐する顔 🤮
頭爆発	頭爆発 🤯
ふらふらの顔	ふらふらの顔 🥴
暑い顔	暑い顔 🥵
寒い顔	寒い顔 🥶
カウボーイの顔	カウボーイの顔 🤠
パーティーの顔	パーティーの顔 🥳
変装した顔	変装した顔 🥸
サングラスで笑顔	サングラスで笑顔 😎
オタク	オタク 🤓
モノクルを付けた顔	モノクルを付けた顔 🧐
困った顔	困った顔 ☹
冷や汗	冷や汗 😓
混乱	混乱 😕
困惑した顔	困惑した顔 😖
失望した顔	失望した顔 😞
悩む顔	悩む顔 😟
泣き顔	泣き顔 😢
我慢	我慢 😣
どうしよう	どうしよう 😥
あきれ顔	あきれ顔 😦
苦悩	苦悩 😧
青ざめ	青ざめ 😨
あきらめ	あきらめ 😩
疲れた	疲れた 😫
大泣き	大泣き 😭
口が開いた顔	口が開いた顔 😮
ぽかーん	ぽかーん 😯
冷や汗青ざめ	冷や汗青ざめ 😰
恐怖	恐怖 😱
びっくり	びっくり 😲
赤面	赤面 😳
